evaluation,official_delay_weeks,model,horizon,WIS,MAE,RMSE,Pearson,Spearman,coverage_50,coverage_80,coverage_95,width_50,width_80,width_95,n_total,n_countries
rolling_window_cv,0,bioepi_safe_lstm_common_scale,1,0.1418948884548438,0.23134652307590178,0.3996963983372765,0.9466550249471174,0.9614809637927101,0.5676567656765676,0.8646864686468647,0.9438943894389439,0.2784623991942806,0.7443008607901286,1.4534872160710488,303.0,3
rolling_window_cv,0,bioepi_safe_lstm_common_scale,2,0.2597220922377908,0.3912653710000868,0.6508046729116982,0.8602861960440737,0.9129704123662125,0.537953795379538,0.7491749174917492,0.9141914191419142,0.443011508025069,1.0423889938892739,4.358995109268207,303.0,3
rolling_window_cv,0,bioepi_safe_lstm_common_scale,3,0.3546106766931992,0.5010442950085073,0.8767762634042261,0.745208996141559,0.8595560120431204,0.5544554455445545,0.7821782178217821,0.8877887788778879,0.5738897726951661,1.42856370045482,5.644301536362293,303.0,3
rolling_window_cv,0,bioepi_safe_lstm_common_scale,4,0.4382953975440125,0.5915746497402331,1.0810421200625047,0.6326310786056843,0.8002795629766645,0.594059405940594,0.8184818481848185,0.9009900990099009,0.6477134799300877,2.269106955630487,5.677726048901566,303.0,3
rolling_window_cv,0,bioepi_sgq_lstm_full_raw,1,0.15187833810399523,0.24627829712817392,0.40783023682070346,0.9459604327256109,0.9528417185523045,0.4620462046204621,0.7491749174917492,0.9108910891089108,0.23763713841236309,0.5311847597855013,1.0546656333274458,303.0,3
rolling_window_cv,0,bioepi_sgq_lstm_full_raw,2,0.274834943613436,0.3965933315426124,0.6706993013944206,0.8517216987195974,0.9036472970922723,0.4290429042904291,0.7062706270627063,0.891089108910891,0.29141609620838044,0.9543975837569687,4.210698961708846,303.0,3
rolling_window_cv,0,bioepi_sgq_lstm_full_raw,3,0.3658932060940776,0.5128341574692967,0.9097412860812256,0.7362284526808666,0.8537178971608008,0.4653465346534653,0.6996699669966997,0.8976897689768976,0.47364862594855,1.063880186016991,5.543826415589552,303.0,3
rolling_window_cv,0,bioepi_sgq_lstm_full_raw,4,0.47734207438634996,0.6587219644289716,1.1790569131423125,0.5927415497074028,0.7751459420750328,0.44224422442244227,0.7623762376237625,0.8712871287128713,0.5348264420994381,1.9641110469494663,5.5150836972458634,303.0,3
rolling_window_cv,0,bioepi_sgq_lstm_no_digital,1,0.15066309967534802,0.23264341547381953,0.40575815762066864,0.946603833657794,0.9597219654983885,0.5676567656765676,0.8481848184818482,0.9306930693069306,0.27803236019112726,0.7462735526561235,1.252922530231314,303.0,3
rolling_window_cv,0,bioepi_sgq_lstm_no_digital,2,0.2686212159401793,0.3940889597258573,0.6739446584645498,0.8551296143835584,0.9147663129000737,0.5511551155115512,0.7227722772277229,0.9075907590759075,0.44262234561946334,0.9223952681114929,4.225696088108926,303.0,3
rolling_window_cv,0,bioepi_sgq_lstm_no_digital,3,0.3697559679306395,0.5181553062320129,0.900918977377802,0.7440900584921334,0.8524249443707425,0.5181518151815182,0.7623762376237623,0.8844884488448845,0.4837263498273272,1.3301651543156092,5.670381737549907,303.0,3
rolling_window_cv,0,bioepi_sgq_lstm_no_digital,4,0.4587010726875878,0.624639047009391,1.1261857719590325,0.6308864790812689,0.8017017341290186,0.504950495049505,0.7887788778877888,0.8712871287128713,0.524359537481186,2.1440096491676948,5.599598589450338,303.0,3
rolling_window_cv,0,gb_full_raw,1,0.3233987336885032,0.5075444390869922,0.6704683914177844,0.8851247303494203,0.9028784230682206,0.5214521452145214,0.8151815181518152,0.9207920792079207,0.6653687348972702,1.92625382903737,5.105265466660691,303.0,3
rolling_window_cv,0,gb_full_raw,2,0.4103004066642537,0.6940772251923523,0.8810772304015746,0.7715757756990996,0.8640518937154299,0.504950495049505,0.8382838283828383,0.9636963696369637,0.8275297725047069,2.3462849357842104,5.441236076838249,303.0,3
rolling_window_cv,0,gb_full_raw,3,0.43142202726754686,0.6743849150497893,0.9572991287325853,0.6716156169253612,0.7821453478421496,0.5907590759075908,0.8052805280528053,0.9174917491749174,1.0115428582229147,2.1624792143609617,5.851474035532945,303.0,3
rolling_window_cv,0,gb_full_raw,4,0.4845078285870234,0.7480936470067522,1.101697591075349,0.601417229569622,0.8078994366369013,0.6006600660066007,0.8547854785478548,0.9537953795379538,1.0954231288493181,2.9703862315166716,6.362154088459921,303.0,3
rolling_window_cv,0,persistence,1,0.1790944911080974,0.2464633005212494,0.4186430684675757,0.9436717989321003,0.9542176601266217,0.41914191419141916,0.735973597359736,0.9801980198019802,0.24762788238645508,0.7199560574502476,3.988126091845007,303.0,3
